id	link	title
0	https://www.cathaybk.com.tw/cathaybk/card/card/costco/platinum_note10.html	國泰世華銀行 COSTCO聯名卡
1	https://www.cathaybk.com.tw/cathaybk/mobile/mybillcht_02.asp	行動版首頁-國泰世華
2	https://www.cathaybk.com.tw/cathaybk/card/card/costco/earlybird_201602.html	國泰世華銀行 COSTCO聯名卡
3	https://www.cathaybk.com.tw/cathaybk/online_recommendcardform.asp	推薦信用卡專屬網址產生器-國泰世華銀行首頁
4	https://www.cathaybk.com.tw/cathaybk/about_query02.asp	歡迎光臨國泰世華銀行-關於我們-ATM / 補摺機設置點查詢
5	https://www.cathaybk.com.tw/cathaybk/about_safe.asp	歡迎光臨國泰世華銀行-關於我們-金保法專區
6	https://www.cathaybk.com.tw/cathaybk/about_risk102b.asp	歡迎光臨國泰世華銀行
7	https://www.cathaybk.com.tw/cathaybk/obu/index_personal.asp	OBU業務-國泰世華銀行
8	https://www.cathaybk.com.tw/cathaybk/other-car.asp	汽車貸款-國泰世華銀行
9	https://www.cathaybk.com.tw/cathaybk/card/service/2016ebill/03.html	線上繳款
10	https://www.cathaybk.com.tw/cathaybk/card/event/2011/drama_8.asp	歡迎光臨國泰世華銀行-精選優惠 藝文饗宴 劇團介紹
11	https://www.cathaybk.com.tw/cathaybk/trust/trust_2_1_3.asp	歡迎光臨國泰世華銀行-信託服務-個人信託-愛的信託
12	https://www.cathaybk.com.tw/cathaybk/card/card/notice/notice_5.asp	歡迎光臨國泰世華銀行-用卡及繳款需知-卡片保管及掛失
13	https://www.cathaybk.com.tw/cathaybk/card/event/2015/2015asia_miles/mileage.html	國泰世華亞洲萬里通聯名卡 - 里程加速器
14	https://www.cathaybk.com.tw/cathaybk/house-buy-index.asp	購屋貸款首頁-國泰世華銀行
15	https://www.cathaybk.com.tw/cathaybk/card/event/2016/onlineshop/20160115/card_news1050115_1_index.asp	國泰世華
16	https://www.cathaybk.com.tw/cathaybk/mobile/app.asp	下載行動銀行APP-國泰世華行動版
17	https://www.cathaybk.com.tw/cathaybk/cash/cash_info03.asp	貨幣市場
18	https://www.cathaybk.com.tw/cathaybk/card/card/costco/infinite2_1511.html	國泰世華銀行 COSTCO聯名卡
19	https://www.cathaybk.com.tw/cathaybk/card/event/bill/add_5.asp	歡迎光臨國泰世華銀行-信用卡理財 帳單分期
20	https://www.cathaybk.com.tw/cathaybk/about_risk_100test.asp	歡迎光臨國泰世華銀行
21	https://www.cathaybk.com.tw/cathaybk/trust/trust_hotkey_1_02.asp	歡迎光臨國泰世華銀行-信託公告及聲明-公益信託公告
22	https://www.cathaybk.com.tw/cathaybk/card/event/store/store_6.asp	歡迎光臨國泰世華銀行-特店免手續費分期-分期特約商店 居家生活
23	https://www.cathaybk.com.tw/cathaybk/about_risk102b.asp	歡迎光臨國泰世華銀行
24	https://www.cathaybk.com.tw/cathaybk/card/mybill/main09.asp	歡迎光臨國泰世華銀行-MyBill輕鬆繳
25	https://www.cathaybk.com.tw/cathaybk/card/card/right/right_7.asp	歡迎光臨國泰世華銀行-卡友權益-國際機場外圍停車優惠
26	https://www.cathaybk.com.tw/cathaybk/card/event/2016/linepay/20160627/card_news1050627_login01.asp	歡迎光臨國泰世華銀行-歡迎進入活動登錄系統
27	https://www.cathaybk.com.tw/cathaybk/enterprise_loan05.asp	歡迎光臨國泰世華銀行-企業金融服務-聯貸
28	https://www.cathaybk.com.tw/cathaybk/card/event/bill/add_1_3.asp	歡迎光臨國泰世華銀行-信用卡理財 預借現金方式
29	https://www.cathaybk.com.tw/cathaybk/card/card/card_4.asp	歡迎光臨國泰世華銀行-信用卡產品介紹
30	https://www.cathaybk.com.tw/cathaybk/vip/myvip_3_02.asp	投資屬性分析 - 國泰世華銀行 財富管理
31	https://www.cathaybk.com.tw/cathaybk/phone-call_02.asp	安裝說明-全球網頁電話服務-國泰世華銀行
